experiment_id	phase	description	retrieval_score	recall_at_k	ndcg_at_k	precision_at_k	mrr	map_at_k	hit_rate_at_k	num_eval_samples	wall_clock_seconds	delta_vs_best	result	reasoning	timestamp
11	2-Retrieval	Hybrid BM25+Dense top_k=50 reranker L-6-v2 RERANK_TOP_N=50	1.3490	1.7875	0.9105	0.0715	0.9503	1.4665	1.0000	200	1900.0	ARTIFACT	REVERT	ARTIFACT: recall=1.7875>1.0 MAP=1.47>1.0. RRF merge returns multiple chunks per doc inflating recall. Hybrid unusable with this evaluator.	2026-06-02T00:48:26
12	3-Reranking	Dense top_k=40 reranker L-12-v2 RERANK_TOP_N=40	0.9268	0.9550	0.8987	0.0478	0.9652	0.7760	1.0000	200	2712.8	-0.0017	REVERT	L-12-v2 NDCG=0.8987 only +0.001 vs L-6-v2 at k=40. Score 0.9268<0.9285. No OOM at k=40.	2026-06-02T01:37:14
13	3-Reranking	Dense top_k=50 reranker L-12-v2 RERANK_TOP_N=50	0.9288	0.9600	0.8976	0.0384	0.9652	0.7768	1.0000	200	3300.0	+0.0003	KEEP	L-12-v2 at k=50: no OOM. NDCG 0.8971->0.8976 (+0.0005). MRR 0.9596->0.9652 (+0.006). Tiny but real improvement.	2026-06-02T02:37:18
14	1-Chunking	Fixed 512 CHUNK_OVERLAP=256 k=50 L-12-v2	0.9288	0.9600	0.8976	0.0384	0.9652	0.7769	1.0000	200	3900.0	+0.0001	KEEP	Recall unchanged 0.9600. Score diff=0.000014 (noise). Overlap change has zero effect — 4 split docs not responsible for hard misses.	2026-06-02T03:39:46
15	1-Chunking	Chunk_size=2000 k=50 L-12-v2	0.9288	0.9600	0.8976	0.0384	0.9652	0.7769	1.0000	200	3415.0	-0.0000	REVERT	Identical metrics. chunk_size has zero effect — all docs fit in 1 chunk anyway. Phase 1 exhausted.	2026-06-02T04:42:12
16	2-Retrieval	BM25 standalone chunk_size=2000 top_k=50 no reranker	0.8264	0.8825	0.7704	0.0353	0.7798	0.5728	0.9950	200	3.6	-0.1024	REVERT	BM25 recall=0.8825 vs dense 0.9600. NDCG=0.7704 vs dense+reranker 0.8976. BM25 is fundamentally inferior for multi-hop semantic HotpotQA. No complementary coverage for hard-miss queries.	2026-06-02T04:45:11
17	3-Reranking	Dense k=50 L-6-v2 chunk_overlap=256	0.9285	0.9600	0.8971	0.0384	0.9596	0.7771	1.0000	200	1813.4	-0.0003	REVERT	L-6-v2 NDCG=0.8971 vs L-12-v2 0.8976. L-12-v2 consistently +0.0005 NDCG. Score 0.9285<0.9288.	2026-06-02T05:19:33
18	2-Retrieval	Dense k=45 L-12-v2 RERANK_TOP_N=45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	200	N/A	crash	crash	OOM at k=45 L-12-v2: RuntimeError alloc_cpu.cpp:117 not enough memory. System memory insufficient for 45-pair batch with L-12-v2.	2026-06-02T05:33:15
19	2-Retrieval	Dense k=55 L-6-v2 RERANK_TOP_N=55	0.9284	0.9600	0.8968	0.0349	0.9596	0.7768	1.0000	200	2056.9	-0.0004	REVERT	k=55: recall ceiling confirmed at 0.9600. NDCG 0.8968 slightly worse than k=50. Score 0.9284<0.9288.	2026-06-02T06:09:00
20	2-Retrieval	Dense k=45 L-6-v2 RERANK_TOP_N=45	0.9276	0.9575	0.8977	0.0426	0.9596	0.7773	1.0000	200	1640.6	-0.0012	REVERT	k=45: recall drops to 0.9575 (-0.0025) vs k=50. NDCG=0.8977 slightly above k=50 L-6-v2 but recall loss dominates. Score 0.9276<0.9288.	2026-06-02T06:37:57
21	2-Retrieval	Dense k=35 L-6-v2 RERANK_TOP_N=35	0.9251	0.9500	0.9001	0.0543	0.9596	0.7756	1.0000	200	1318.9	-0.0038	REVERT	k=35: recall drops to 0.9500. NDCG=0.9001 (better but recall cost dominates). Score 0.9251<0.9288.	2026-06-02T07:01:10
22	2-Retrieval	Dense k=25 L-6-v2 RERANK_TOP_N=25	0.9168	0.9325	0.9010	0.0746	0.9546	0.7701	0.9950	200	958.1	-0.0121	REVERT	k=25: recall=0.9325 NDCG=0.9010. Composite 0.9168<0.9288. Lower k reduces recall faster than it improves NDCG.	2026-06-02T07:18:26
23	2-Retrieval	Dense k=15 L-6-v2 RERANK_TOP_N=15	0.9116	0.9150	0.9081	0.1220	0.9546	0.7659	0.9950	200	550.2	-0.0173	REVERT	k=15: recall=0.9150 NDCG=0.9081. Score 0.9116 below best 0.9288. 9 consecutive non-improvements.	2026-06-02T07:28:53
24	2-Retrieval	Dense k=10 L-6-v2 RERANK_TOP_N=10	0.8991	0.8825	0.9156	0.1765	0.9508	0.7548	0.9950	200	349.6	-0.0298	REVERT	k=10: recall=0.8825 NDCG=0.9156. Score 0.8991. 10 consecutive non-improvements. CONVERGENCE CRITERION MET.	2026-06-02T07:36:13
